country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,HIGH_CONF_RANK
Brunei Darussalam,0.4113295962878027,0.6961439584307305,0.5395053886175302,0.4922194845494351,True,True,False,True,False,False,True,False,3,0.75,B,0.4305554791938572,0.7033003330324546,0.5451055677127373,0.5967881564267131,0.5602865395266816,0.5758268011985326,0.5718475726367138,0.5525633069485464,58.0,54.0,61.0,0.5525633069485464,63,Silver,63,54
Philippines,0.7182405901697629,0.438949807293756,0.5486406117247239,0.3266419423350331,True,True,True,True,False,False,False,False,4,1.0,A,0.7565739316105571,0.4123715326729473,0.5544889276753572,0.3078767164684536,0.5480527287007596,0.5283492284994293,0.5557021323580088,0.5440346965193992,61.0,71.0,66.0,0.5440346965193992,65,Silver,65,55
Indonesia,0.6857033074986308,0.4672230367361789,0.4601741716227697,0.3733595901203665,True,True,True,True,False,False,False,False,4,1.0,A,0.7220109646470243,0.4443531958935565,0.4636195047452819,0.3893929819753194,0.5454157678736613,0.5199375113395043,0.5415104330950449,0.5356212374360702,62.0,75.0,71.0,0.5356212374360702,67,Silver,67,56
Zambia,0.4928847042832384,0.3785506754166776,0.7901761123531975,0.4380475743788147,True,True,False,True,False,False,True,False,3,0.75,B,0.5171879903302125,0.3440502007061258,0.8025851722393048,0.5022651651842323,0.4891076365954682,0.5050366689792776,0.4930542651214582,0.5346029217851107,84.0,84.0,89.0,0.5346029217851107,68,Silver,68,57
Russian Federation,0.6604954199222706,0.2914157776347408,0.592746599812476,0.4404920315660318,True,True,False,True,False,False,True,False,3,0.75,B,0.6952337013356296,0.2454863291364086,0.5997929512200582,0.5065304274681761,0.5370543456131468,0.5389094963252876,0.5310520978309182,0.5307298929617672,66.0,66.0,74.0,0.5307298929617673,69,Silver,69,58
Peru,0.6705341359776238,0.4155681176337643,0.681393372982158,0.2685364944856179,True,True,True,True,False,False,False,False,4,1.0,A,0.7058974010331245,0.3859230038355364,0.6908476055416165,0.2064902096808566,0.5210291761785811,0.5195441776765358,0.5487096622238612,0.5297610053596593,74.0,76.0,69.0,0.5297610053596593,70,Silver,70,59
Albania,0.4463222202606491,0.4876508458624123,0.955819881053526,0.2701885519067149,True,True,True,True,False,False,False,False,4,1.0,A,0.4677266504488516,0.46746040100221,0.972728264426748,0.2093728366484972,0.4900775255737857,0.5389446882811303,0.5515967079831909,0.5268729739460356,83.0,65.0,68.0,0.5268729739460356,71,Silver,71,60
Azerbaijan,0.5773847984929369,0.4373378402041625,0.7610450297366185,0.2924742011307767,True,True,True,False,False,False,False,True,3,0.75,B,0.6069488346546963,0.4105481333089987,0.7726628122613722,0.2482584181205981,0.5321984881957745,0.5508692032323024,0.5589954688886579,0.5265615817773337,68.0,62.0,65.0,0.5265615817773337,72,Silver,72,61
Bhutan,0.3877174839763055,0.6515967997708036,0.5044604927782498,0.4978538531478085,True,True,True,True,False,False,False,False,4,1.0,A,0.4054733398520378,0.6529101846909592,0.5091087596814661,0.6066194023990916,0.5230607600077919,0.5305833599201636,0.5238146392116695,0.5258195863798749,73.0,70.0,77.0,0.5258195863798749,73,Silver,73,62
Georgia,0.4260787474964091,0.5884643755050036,0.637213254035684,0.4096519846418876,True,True,True,True,False,False,False,False,4,1.0,A,0.4462228731528339,0.5814970503943908,0.6454674375477255,0.4527185261313548,0.5103205430319608,0.5276696484470622,0.530527664924427,0.5228392854678167,75.0,72.0,75.0,0.5228392854678167,75,Silver,75,63
Kuwait,0.4451672017271014,0.5619613041168726,0.3539719626168224,0.5664796184894159,True,True,True,True,False,False,False,False,4,1.0,A,0.4664997235471563,0.5515177264840079,0.3545325624522744,0.7263625053460374,0.5249547870723033,0.5153717887226115,0.4980869237596162,0.5128044998515102,71.0,80.0,87.0,0.5128044998515102,78,Silver,78,64
Dominican Republic,0.49687845562053,0.4837470816098899,0.7787807986406118,0.2916710080424913,True,True,True,True,False,False,False,False,4,1.0,A,0.5214303819560455,0.463044602875184,0.7908803316243046,0.2468569498502177,0.490344659922414,0.5155997249814023,0.5320665130904088,0.5126702993314083,82.0,79.0,73.0,0.5126702993314083,79,Bronze,79,65
Benin,0.4745324592805576,0.4278812747746087,0.5841121495327103,0.4796786347655915,True,True,True,True,False,False,False,False,4,1.0,A,0.4976931835835786,0.3998512056231274,0.5909239664012217,0.5749059922099085,0.505271622392039,0.5194095703687885,0.5034362532930955,0.5093724820179744,76.0,77.0,85.0,0.5093724820179744,81,Bronze,81,66
Montenegro,0.4093138007105392,0.5286793346803573,0.7875955819881053,0.3333746476230859,True,True,True,True,False,False,False,False,4,1.0,A,0.4284141855693589,0.5138703562037621,0.799934547834624,0.3196244182012598,0.4825375651334098,0.5174986036056684,0.524218333884599,0.5080848342078924,87.0,78.0,76.0,0.5080848342078924,82,Bronze,82,67
Ghana,0.5177079893507044,0.4831825899719507,0.6282922684791844,0.3350681388628944,True,True,True,True,False,False,False,False,4,1.0,A,0.5435567068080145,0.4624060701779488,0.6363041343951129,0.3225793418346607,0.4913684132763521,0.499511989095677,0.5137185983990549,0.501533000257028,80.0,85.0,82.0,0.501533000257028,83,Bronze,83,68
Colombia,0.6453604551979052,0.4377352101445263,0.6541762347296401,0.2117285367743431,True,True,False,True,False,False,True,False,3,0.75,B,0.6791564741421433,0.4109976239351965,0.6628911777260054,0.107367655716381,0.4847712654847494,0.476064466558195,0.516567548337352,0.5011577004054464,86.0,91.0,80.0,0.5011577004054464,84,Bronze,84,69
Bangladesh,0.5512465092727128,0.2813061278746889,0.6637638062871708,0.4272125185465458,True,True,True,True,False,False,False,False,4,1.0,A,0.5791832453787545,0.2340506558765595,0.6727391731209774,0.4833593912449411,0.4911770441361823,0.5093350571785956,0.494807269241715,0.4984397901854976,81.0,81.0,88.0,0.4984397901854976,85,Bronze,85,70
South Africa,0.5727305175621046,0.4668883332338004,0.5044604927782498,0.3105128330477938,True,True,True,False,False,False,False,True,3,0.75,B,0.6020047906275016,0.4439745912946858,0.5091087596814661,0.2797335025573154,0.4976968063917769,0.4879045944177651,0.5043796735076558,0.4819459755063374,79.0,87.0,84.0,0.4819459755063374,88,Bronze,88,71
Uzbekistan,0.6344231222816007,0.3713456332124479,0.5398258283772303,0.287282395255344,True,True,True,False,False,False,False,True,3,0.75,B,0.6675382120986818,0.3359001153494031,0.5454347114650376,0.2391993869778799,0.5035474418519256,0.4944782097831199,0.507236178582285,0.4792116715304738,77.0,86.0,83.0,0.4792116715304738,89,Bronze,89,72
Costa Rica,0.5350895708785564,0.6196565913730386,0.4689889549702634,0.2405479830122125,True,True,True,True,False,False,False,False,4,1.0,A,0.562020419165104,0.6167805663799829,0.4726737209556016,0.1576538696559563,0.4749755384100291,0.4565055541481158,0.5016452552169225,0.4777087825916891,89.0,95.0,86.0,0.4777087825916891,90,Bronze,90,73
North Macedonia,0.3794552652239404,0.4750930531211059,0.8496176720475787,0.2259479988698936,True,True,True,False,False,False,False,True,3,0.75,B,0.3966967374335193,0.4532554761964126,0.8636413221337406,0.1321787817574828,0.4731376887711466,0.5203065611906347,0.5162030298267692,0.4600058248788774,90.0,74.0,81.0,0.4600058248788774,91,Bronze,91,74
Ethiopia,0.4576270522875272,0.3197001893962491,0.5929269328802039,0.4300185938850485,True,True,True,False,False,False,False,True,3,0.75,B,0.4797352911156993,0.2774806413953509,0.5999781826115413,0.4882556305285777,0.4237675657799565,0.4401117179326755,0.4365783570514624,0.4590409868498292,100.0,99.0,106.0,0.4590409868498292,92,Bronze,92,75
Morocco,0.4340845645761779,0.4499010939512184,0.796516567544605,0.2001909856827422,True,True,True,True,False,False,False,False,4,1.0,A,0.4547271110156237,0.4247592354086593,0.8090978509872369,0.0872361182210958,0.4235948378483402,0.4553380534379773,0.4805425593010063,0.4531584835291079,101.0,96.0,92.0,0.4531584835291079,93,Bronze,93,76
Kenya,0.6230120368442038,0.3828781232875737,0.4955395072217502,0.2175382202561744,True,True,True,True,False,False,False,False,4,1.0,A,0.6554167029678434,0.3489452545482623,0.4999454565288535,0.1175048035323823,0.4439662507761795,0.4264841807135499,0.4637480562999543,0.4447328292632279,94.0,107.0,95.0,0.4447328292632279,94,Bronze,94,77
