country,oecd_ai,oxford_ai,AI_INDEX,rank,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,PQC,SCI_PLUS_SCORE
Antigua and Barbuda,0.2141445004578435,0.1955599577959131,0.2048522291268782,88,0.6641610358821726,0.6406665699656471,0.5845775895397985,0.5397524817470315,0.6072894192836624,0.1503823279524214,0.3208413254543207
Maldives,0.2080738059911926,0.1912964837105144,0.1996851448508534,89,0.5322800532734591,0.4319185830205246,0.4383090195771221,0.3972172256388625,0.4499312203774921,0.2743203058623619,0.3079788903635691
Burkina Faso,0.3011348063313031,0.2734867896901445,0.2873107980107238,90,0.3126753058476714,0.3622816833511917,0.2915185822816742,0.4163792523875647,0.3457137059670255,0.2477697536108751,0.29359808586287484
Cambodia,0.3394116809209916,0.3105014965224694,0.3249565887217305,91,0.2718865628220804,0.336892122814134,0.4220900988812373,0.191136121115128,0.3055012264081449,0.2124044180118946,0.28095407771392333
Angola,0.2381987795771422,0.2166835339462974,0.2274411567617198,92,0.245038416430745,0.3029032981406409,0.3116594136929669,0.3313595558950215,0.2977401710398435,0.2920560747663551,0.2724124675226395
Eswatini,0.2529205753019165,0.2310889085075688,0.2420047419047426,93,0.3183490905868123,0.3353013790453209,0.3125689083409519,0.2940035653723515,0.3150557358363591,0.2300339847068818,0.2623648208159945
Guatemala,0.2747104374757321,0.2489825800478026,0.2618465087617673,94,0.2941230009529139,0.414144215773328,0.2837695845674603,0.2565269920505881,0.3121409483360726,0.159303313508921,0.24443025686892028
Nauru,0.1218050279611531,0.1209922266962382,0.1213986273286956,95,0.5813633365502485,0.3625307064729334,0.4902608721275455,0.5904271503201074,0.5061455163677087,0.0972812234494477,0.24160845571528397
Lebanon,0.328766864224465,0.2997136151245667,0.3142402396745158,96,0.2650038501484875,0.2583057957384124,0.23419032382142,0.1747592858980025,0.2330648139015806,0.1769328802039082,0.24141264459333486
Mozambique,0.1801267867784194,0.1602248013608664,0.1701757940696429,97,0.2390739807918674,0.305185370215534,0.3272457196030807,0.2304378419336885,0.2754857281360427,0.2743203058623619,0.23999394268934915
Mauritania,0.2629011630277679,0.2409293512198273,0.2519152571237976,98,0.3174896061842373,0.3016720518096707,0.3215288961014605,0.259863307633052,0.3001384654321052,0.159303313508921,0.23711901202160793
Tajikistan,0.3179096734199819,0.2908206110979522,0.304365142258967,99,0.2417277642775542,0.3063141566573312,0.3530425543775384,0.1946062771710521,0.273922688120869,0.1238317757009345,0.23403986869359017
Iraq,0.2683367922233053,0.2464847871492862,0.2574107896862957,100,0.2004599736803012,0.2411091870887582,0.2405317890108969,0.1975337417003397,0.219908672870074,0.2124044180118946,0.22990796018942142
