country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA
Democratic People's Republic of Korea,0.0935156255883958,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.0929552597514828,0.4443531958935565,0.622668266608487,0.3559270285438891,0.3138590598852639,0.3647210716934247,0.3478059200427413,0.34212868387381,153.0,142.0,147.0
Democratic Republic of the Congo,0.2195818549234346,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.2268700357259967,0.4443531958935565,0.622668266608487,0.3559270285438891,0.3668329915805162,0.4049061062146978,0.3960377524880598,0.3892589500944246,123.0,117.0,120.0
Denmark,0.9129101593157498,0.9584398153347,0.9027187765505524,0.7176088170442433,True,True,True,True,False,False,False,False,4,1.0,A,0.9633631080517558,1.0,0.9181847932802444,0.990063450475872,0.970819833203812,0.9654545773384228,0.9662593983643376,0.9675112696355244,1.0,1.0,1.0
Djibouti,0.1665288054240101,0.3033750947895522,0.615016992353441,0.2732792601389062,True,True,False,True,False,False,True,False,3,0.75,B,0.1705140451014276,0.2590142798210849,0.622668266608487,0.2147657235938595,0.2704143259245371,0.3166464399393323,0.3066018846548481,0.2978875501729058,166.0,163.0,159.0
Dominica,0.103263733174511,0.5592302091456025,0.615016992353441,0.3122368462693197,True,True,False,True,False,False,True,False,3,0.75,B,0.1033102584728355,0.5484284097940793,0.622668266608487,0.2827416831093202,0.3270356688201405,0.3725577965429882,0.3699143738625845,0.3565026130752378,146.0,137.0,136.0
Dominican Republic,0.49687845562053,0.4837470816098899,0.7787807986406118,0.2916710080424913,True,True,True,True,False,False,False,False,4,1.0,A,0.5214303819560455,0.463044602875184,0.7908803316243046,0.2468569498502177,0.490344659922414,0.5155997249814023,0.5320665130904088,0.5126702993314083,82.0,79.0,73.0
Ecuador,0.6220218479573252,0.3404036848024685,0.3893372982158029,0.1945621115089828,True,True,True,True,False,False,False,False,4,1.0,A,0.6543648675662593,0.3008996929373596,0.3908585142358459,0.0774144593104996,0.4068331199399053,0.3785311615947834,0.4193606823579235,0.4015749879642041,108.0,132.0,112.0
Egypt,0.7068441861169577,0.4672230367361789,0.6460280373831776,0.354179974671984,True,False,True,False,False,True,False,True,2,0.5,C,0.744468017888092,0.4443531958935565,0.6545216537580452,0.3559270285438891,0.5764765588227403,0.568499173005498,0.5899401491833657,0.5783052936705346,51.0,56.0,55.0
El Salvador,0.3990931516101961,0.3969775670809071,0.615016992353441,0.3408857799468186,True,True,False,True,False,False,True,False,3,0.75,B,0.4175572261615459,0.3648940397379621,0.622668266608487,0.3327303746392211,0.4184528192071575,0.4401892334802549,0.4400812074618864,0.4329077533830996,104.0,98.0,103.0
Equatorial Guinea,0.0560676603138352,0.1671001434614802,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.0531758842050268,0.1048649419233824,0.622668266608487,0.3559270285438891,0.217542591940392,0.2820248609975339,0.2415126577423256,0.2470267035600838,176.0,166.0,174.0
Eritrea,0.0060083359076905,0.088856877889039,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.0,0.0163589658404441,0.622668266608487,0.3559270285438891,0.1754996227970766,0.2476206604060915,0.1983844875892444,0.2071682569308041,190.0,178.0,183.0
Estonia,0.8512163435893891,0.8336284625831961,0.9823704333050128,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.897828400179659,0.8588178737085511,1.0,0.3559270285438891,0.7885826242436564,0.790630694385335,0.8385809013152238,0.8059314066480717,17.0,16.0,13.0
Eswatini,0.2420047419047426,0.3150557358363591,0.2300339847068818,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.2506889117457074,0.2722270020861715,0.2272281007963345,0.3559270285438891,0.2746628255267127,0.2734771282776378,0.2651273416232722,0.2710890984758742,161.0,167.0,166.0
Ethiopia,0.4576270522875272,0.3197001893962491,0.5929269328802039,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.4797352911156993,0.2774806413953509,0.5999781826115413,0.3559270285438891,0.4237675657799565,0.4401117179326755,0.4365783570514624,0.4334858802546981,100.0,99.0,106.0
Fiji,0.3599455796739829,0.581653791059161,0.3274214103653356,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.3759724309833572,0.5737931615080496,0.3272608268790226,0.3559270285438891,0.4111661270564155,0.3999069435553917,0.4154341378994541,0.4088357361704204,105.0,122.0,114.0
