country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK
Zambia,0.4928847042832384,0.3785506754166776,0.7901761123531975,0.4380475743788147,True,True,False,True,False,False,True,False,3,0.75,B,0.5171879903302125,0.3440502007061258,0.8025851722393048,0.5022651651842323,0.4891076365954682,0.5050366689792776,0.4930542651214582,0.4957328568987347,84.0,84.0,89.0,0.5346029217851107,68
Russian Federation,0.6604954199222706,0.2914157776347408,0.592746599812476,0.4404920315660318,True,True,False,True,False,False,True,False,3,0.75,B,0.6952337013356296,0.24548632913640867,0.5997929512200582,0.5065304274681761,0.5370543456131468,0.5389094963252876,0.5310520978309182,0.5356719799231175,66.0,66.0,74.0,0.5307298929617673,69
Peru,0.6705341359776238,0.4155681176337643,0.681393372982158,0.2685364944856179,True,True,True,True,False,False,False,False,4,1.0,A,0.7058974010331245,0.3859230038355364,0.6908476055416165,0.20649020968085668,0.5210291761785811,0.5195441776765358,0.5487096622238612,0.5297610053596593,74.0,76.0,69.0,0.5297610053596593,70
Albania,0.4463222202606491,0.4876508458624123,0.955819881053526,0.2701885519067149,True,True,True,True,False,False,False,False,4,1.0,A,0.46772665044885164,0.46746040100221,0.9727282644267481,0.2093728366484972,0.4900775255737857,0.5389446882811303,0.5515967079831909,0.5268729739460356,83.0,65.0,68.0,0.5268729739460356,71
Azerbaijan,0.5773847984929369,0.4373378402041625,0.7610450297366185,0.2924742011307767,True,True,True,False,False,False,False,True,3,0.75,B,0.6069488346546963,0.41054813330899875,0.7726628122613722,0.24825841812059812,0.5321984881957745,0.5508692032323024,0.5589954688886579,0.5473543867722449,68.0,62.0,65.0,0.5265615817773337,72
Bhutan,0.3877174839763055,0.6515967997708036,0.5044604927782498,0.4978538531478085,True,True,True,True,False,False,False,False,4,1.0,A,0.4054733398520378,0.6529101846909592,0.5091087596814661,0.6066194023990916,0.5230607600077919,0.5305833599201636,0.5238146392116695,0.5258195863798749,73.0,70.0,77.0,0.5258195863798749,73
Viet Nam,0.6580034498101853,0.4389350895634804,0.653101138348785,0.27048461924208184,True,True,False,False,False,False,True,True,2,0.5,C,0.6925865878219208,0.4123548845042616,0.6617868788799126,0.20988943593510032,0.5434657984928013,0.5379885606671596,0.5551057916457512,0.5455200502685708,63.0,68.0,67.0,0.5257688459444916,74
Georgia,0.4260787474964091,0.5884643755050036,0.637213254035684,0.4096519846418876,True,True,True,True,False,False,False,False,4,1.0,A,0.44622287315283393,0.5814970503943908,0.6454674375477255,0.4527185261313548,0.5103205430319608,0.5276696484470622,0.530527664924427,0.5228392854678167,75.0,72.0,75.0,0.5228392854678167,75
Republic of Moldova,0.5928091606796755,0.4837633977746219,0.598289078286859,0.3233378088130827,True,False,False,False,False,True,True,True,1,0.25,D,0.623333476423408,0.46306305913560436,0.6054859780897854,0.30211142993940887,0.5236657762701341,0.5238765255348202,0.5388312426257815,0.528791181476912,72.0,73.0,72.0,0.5191559387659815,76
Iran (Islamic Republic of),0.5408427161205154,0.526401738309983,0.6523143827767136,0.30729348208394197,True,False,False,False,False,True,True,True,1,0.25,D,0.568131739859707,0.5112940208679586,0.6609787529426786,0.2741161506492102,0.5018291043950205,0.5073116343694963,0.5189493372179889,0.5093633586608353,78.0,82.0,79.0,0.5178327395611362,77
