country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM
Czechia,0.7541098835777815,0.7569119935642942,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.7946763513976447,0.7720389551335328,0.622668266608487,0.3559270285438891
Côte D'Ivoire,0.4542193619161699,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.4761154470458174,0.44435319589355654,0.622668266608487,0.3559270285438891
Democratic People's Republic of Korea,0.0935156255883958,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.09295525975148286,0.44435319589355654,0.622668266608487,0.3559270285438891
Democratic Republic of the Congo,0.2195818549234346,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.22687003572599673,0.44435319589355654,0.622668266608487,0.3559270285438891
Denmark,0.9129101593157498,0.9584398153347,0.9027187765505524,0.7176088170442433,True,True,True,True,False,False,False,False,4,1.0,A,0.9633631080517558,1.0,0.9181847932802445,0.9900634504758721
Djibouti,0.1665288054240101,0.3033750947895522,0.615016992353441,0.2732792601389062,True,True,False,True,False,False,True,False,3,0.75,B,0.17051404510142762,0.25901427982108494,0.622668266608487,0.2147657235938595
Dominica,0.103263733174511,0.5592302091456025,0.615016992353441,0.3122368462693197,True,True,False,True,False,False,True,False,3,0.75,B,0.10331025847283551,0.5484284097940793,0.622668266608487,0.28274168310932024
Dominican Republic,0.49687845562053,0.4837470816098899,0.7787807986406118,0.2916710080424913,True,True,True,True,False,False,False,False,4,1.0,A,0.5214303819560455,0.46304460287518406,0.7908803316243046,0.2468569498502177
Ecuador,0.6220218479573252,0.3404036848024685,0.3893372982158029,0.1945621115089828,True,True,True,True,False,False,False,False,4,1.0,A,0.6543648675662593,0.30089969293735963,0.39085851423584594,0.07741445931049967
Egypt,0.7068441861169577,0.4672230367361789,0.6460280373831776,0.354179974671984,True,False,True,False,False,True,False,True,2,0.5,C,0.744468017888092,0.44435319589355654,0.6545216537580452,0.3559270285438891
El Salvador,0.3990931516101961,0.3969775670809071,0.615016992353441,0.3408857799468186,True,True,False,True,False,False,True,False,3,0.75,B,0.41755722616154595,0.36489403973796214,0.622668266608487,0.33273037463922117
Equatorial Guinea,0.0560676603138352,0.1671001434614802,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.05317588420502685,0.1048649419233824,0.622668266608487,0.3559270285438891
Eritrea,0.0060083359076905,0.088856877889039,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.0,0.01635896584044419,0.622668266608487,0.3559270285438891
Estonia,0.8512163435893891,0.8336284625831961,0.9823704333050128,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.897828400179659,0.8588178737085511,1.0,0.3559270285438891
Eswatini,0.2420047419047426,0.3150557358363591,0.2300339847068818,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.25068891174570745,0.2722270020861715,0.22722810079633457,0.3559270285438891
Ethiopia,0.4576270522875272,0.3197001893962491,0.5929269328802039,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.47973529111569935,0.27748064139535095,0.5999781826115413,0.3559270285438891
Fiji,0.3599455796739829,0.581653791059161,0.3274214103653356,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.3759724309833572,0.5737931615080496,0.32726082687902264,0.3559270285438891
Finland,0.8135522384731969,0.9584398153347,0.9734494477485132,0.43820065135753,True,True,True,True,False,False,False,False,4,1.0,A,0.8578194285024713,1.0,0.9908366968473873,0.502532264754341
France,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,True,True,True,False,False,False,False,4,1.0,A,1.0,0.7723482335151776,0.9181847932802445,0.5088526879969311
Gabon,0.2365812559561215,0.2957377032633009,0.615016992353441,0.356241865601403,True,True,False,True,False,False,True,False,3,0.75,B,0.24492777405132685,0.25037513641605147,0.622668266608487,0.35952476208606204
Gambia (Republic of The),0.187906560302883,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.19322272188618372,0.44435319589355654,0.622668266608487,0.3559270285438891
Georgia,0.4260787474964091,0.5884643755050036,0.637213254035684,0.4096519846418876,True,True,True,True,False,False,False,False,4,1.0,A,0.44622287315283393,0.5814970503943908,0.6454674375477255,0.4527185261313548
Germany,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945,True,True,True,True,False,False,False,False,4,1.0,A,0.943865728503289,0.8975486857736967,0.9362932257008836,0.6806465343555476
Ghana,0.5177079893507044,0.4831825899719507,0.6282922684791844,0.3350681388628944,True,True,True,True,False,False,False,False,4,1.0,A,0.5435567068080145,0.4624060701779488,0.6363041343951129,0.32257934183466075
Greece,0.713970911747825,0.5675206587019025,0.8584324553950722,0.4584474136236569,True,True,True,True,False,False,False,False,4,1.0,A,0.7520384344169552,0.5578062690229652,0.8726955383440601,0.5378602516453704
Grenada,0.0975655311481084,0.5567795170459108,0.615016992353441,0.3638131436347989,True,True,False,True,False,False,True,False,3,0.75,B,0.09725730161160308,0.5456562747767704,0.622668266608487,0.37273566502433797
Guatemala,0.2618465087617673,0.3121409483360726,0.159303313508921,0.2923819781985882,True,True,True,True,False,False,False,False,4,1.0,A,0.27176597399792535,0.26892989899493663,0.15457619722919166,0.24809750100720565
Guinea,0.0882557582795792,0.2544265790206249,0.2300339847068818,0.329246242516694,True,True,True,True,False,False,False,False,4,1.0,A,0.08736792715629696,0.20364547415781636,0.22722810079633457,0.31242088414665803
