iso3,country,PQC_SCORE,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,QVP_GLOBAL_SCORE,RANK
VEN,Venezuela,0.2124044180118946,0.4412042398246143,0.4893867991225805,0.35729007583356426,0.36782710030707993,153
CMR,,0.6017417162276976,0.3575451981769602,0.2535074056775472,0.16229461140551407,0.36574458811303895,154
PNG,,0.6017417162276976,0.2507608026208443,0.32430099406158525,0.19853436485056633,0.3639948370090299,155
BIH,Bosnia and Herzegovina,0.3717077315208156,0.3489987411832479,0.3889547222978773,0.33189624419106895,0.3623799341647398,156
TLS,,0.6017417162276976,0.0771383834796898,0.33801770729560826,0.35729007583356426,0.35576955272884664,157
PAK,Pakistan,0.4689889549702634,0.5198784786130712,0.28576083608707936,0.018849076633129187,0.3458763304927425,158
SLE,,0.6017417162276976,0.1485796929941659,0.2803412838415468,0.29057966264509516,0.34586869160625644,159
MWI,,0.6017417162276976,0.2050535548708371,0.3712422637829256,0.10118921830130426,0.34483431319201074,160
DJI,,0.6017417162276976,0.1753090696882692,0.29935507635608716,0.22439186007173226,0.34406692339374484,161
ATG,Antigua and Barbuda,0.1503823279524214,0.2141445004578435,0.6205506004828499,0.43484628347723514,0.3407577303163468,162
COM,,0.6017417162276976,0.1335690140702076,0.2090933692768977,0.35729007583356426,0.33764612587179843,163
UGA,Uganda,0.2831350892098555,0.3624826556444914,0.33197694349170476,0.3302777676346142,0.3246109800739285,164
SUR,,0.6017417162276976,0.0707516991670495,0.37879648846386055,0.1561642400501125,0.3241424097860593,165
MDV,Maldives,0.2743203058623619,0.2080738059911926,0.45424468759952913,0.3751275457574284,0.3229012243078747,166
NER,,0.6017417162276976,0.0905931342413716,0.30933803115449576,0.1733816910633582,0.3151816444299477,167
BFA,Burkina Faso,0.2477697536108751,0.3011348063313031,0.3441011488901288,0.3690997652969311,0.30945986794800673,168
KHM,Cambodia,0.2124044180118946,0.3394116809209916,0.30160210423387185,0.4004593727598551,0.3040666462442553,169
GNQ,,0.6017417162276976,0.0516499736282518,0.15533124829194656,0.35729007583356426,0.3037258355150717,170
SYR,,0.6017417162276976,0.1382800298431905,0.05735450332822768,0.35729007583356426,0.30088916332787663,171
CAF,,0.6017417162276976,0.019658224665927,0.13925195320121636,0.35729007583356426,0.29170807450180797,172
AFG,,0.6017417162276976,0.0575697069652038,0.08717936051202571,0.35729007583356426,0.2881677969043295,173
COG,Congo,0.2300339847068818,0.1007267401496784,0.4893867991225805,0.35729007583356426,0.2879965953968421,174
SWZ,Eswatini,0.2300339847068818,0.2529205753019165,0.31169990291011956,0.35729007583356426,0.28162333013178636,175
TKM,,0.6017417162276976,0.1469784764929798,0.16292471514978618,0.07648487110779245,0.2732952870005593,176
AGO,Angola,0.2920560747663551,0.2381987795771422,0.2933997391398675,0.2600543426912486,0.27252732064740864,177
ERI,,0.6017417162276976,0.0,0.07263890815048414,0.35729007583356426,0.2701402570726431,178
MOZ,Mozambique,0.2743203058623619,0.1801267867784194,0.26987986239653244,0.35729007583356426,0.2662557692191594,179
LBN,Lebanon,0.1769328802039082,0.328766864224465,0.2250468068827619,0.35729007583356426,0.26299129700469204,180
GTM,Guatemala,0.159303313508921,0.2747104374757321,0.3086193745393984,0.34189365568727687,0.2620021781939143,181
