country,oecd_ai,oxford_ai,AI_INDEX
Bosnia and Herzegovina,0.3489987411832479,0.3219784242372042,0.3354885827102261
Cambodia,0.3394116809209916,0.3105014965224694,0.3249565887217305
State of Palestine,0.3331004771732007,0.3036971641437523,0.31839882065847647
Lebanon,0.328766864224465,0.2997136151245667,0.31424023967451586
Cabo Verde,0.3269995904806101,0.2993906246635517,0.3131951075720809
Trinidad and Tobago,0.3206883867328192,0.2925862922848345,0.3066373395088269
Tajikistan,0.3179096734199819,0.2908206110979522,0.30436514225896705
Kyrgyzstan,0.3134100032285773,0.2866002024073555,0.30000510281796644
Togo,0.3070535111418769,0.2797312719364355,0.2933923915391562
Burkina Faso,0.3011348063313031,0.2734867896901445,0.2873107980107238
Belarus,0.2958350421524946,0.2681251480372946,0.28198009509489463
Cuba,0.291637294220488,0.2643353932947181,0.27798634375760306
Lesotho,0.2866243561881074,0.2593828728924873,0.2730036145402973
Bahamas,0.2845249679589149,0.2585861630886502,0.27155556552378257
"Lao People's Democratic
Republic",0.2785005903575518,0.2521909519605521,0.26534577115905195
Guatemala,0.2747104374757321,0.2489825800478026,0.26184650876176735
Zimbabwe,0.271886435823985,0.2471523007687172,0.2595193682963511
Libya,0.2700587776282506,0.2467431795180982,0.2584009785731744
Iraq,0.2683367922233053,0.2464847871492862,0.25741078968629577
Mauritania,0.2629011630277679,0.2409293512198273,0.2519152571237976
Vanuatu,0.2553067896775368,0.232294739562025,0.2438007646197809
Eswatini,0.2529205753019165,0.2310889085075688,0.24200474190474264
Papua New Guinea,0.2507608026208443,0.2302060679141275,0.24048343526748592
Gabon,0.2466385352536871,0.226523976658556,0.23658125595612156
Angola,0.2381987795771422,0.2166835339462974,0.2274411567617198
Bolivia (Plurinational State of),0.2353898740383651,0.2148747873646131,0.22513233070148908
"Democratic Republic of the
Congo",0.229908956503918,0.2092547533429513,0.21958185492343463
Seychelles,0.2238090983377055,0.2027518787278482,0.21328048853277684
Guyana,0.2185848147237465,0.1974979005620034,0.20804135764287496
"Venezuela, Bolivarian
Republic of",0.2168779254317711,0.1972610408905923,0.20706948316118168
Antigua and Barbuda,0.2141445004578435,0.1955599577959131,0.20485222912687828
Saint Lucia,0.2106562698354214,0.1927822398311836,0.2017192548333025
Maldives,0.2080738059911926,0.1912964837105144,0.19968514485085348
Malawi,0.2050535548708371,0.1891862793652161,0.1971199171180266
Gambia (Republic of The),0.1965534147424126,0.1792597058633535,0.18790656030288305
Barbados,0.1823167516854311,0.1611507073491096,0.17173372951727034
Mozambique,0.1801267867784194,0.1602248013608664,0.1701757940696429
Samoa,0.1769857667543048,0.1579423354363601,0.16746405109533247
Djibouti,0.1753090696882692,0.1577485411597511,0.16652880542401016
Mali,0.1723190107938534,0.1556814022092547,0.16400020650155406
Kiribati,0.1686647229287626,0.1526668245731142,0.1606657737509384
Belize,0.1660973551975037,0.151202601149846,0.15864997817367485
Palau,0.1644810425833476,0.151094937662841,0.1577879901230943
Nicaragua,0.1606908897015279,0.1478865657500916,0.15428872772580976
Honduras,0.158787750940944,0.1473697810124674,0.1530787659767057
Somalia,0.1552391358666424,0.144505932258134,0.1498725340623882
Tonga,0.1533661893319983,0.1440322129153119,0.1486992011236551
Sierra Leone,0.1485796929941659,0.1394026829740961,0.14399118798413102
Turkmenistan,0.1469784764929798,0.1393165521844921,0.14314751433873596
"Saint Vincent and the
Grenadines",0.1441544748412327,0.1374862729054068,0.14082037387331975
Solomon Islands,0.1415418187710642,0.1359574513899356,0.1387496350804999
Syrian Arab Republic,0.1382800298431905,0.1335027238862212,0.13589137686470584
Comoros,0.1335690140702076,0.1289808574320105,0.13127493575110905
"Micronesia (Federated States
of)",0.1319979897949612,0.1289377920372085,0.13046789091608485
Saint Kitts and Nevis,0.1297778326620097,0.1279688206541633,0.12887332665808648
Madagascar,0.126380178717407,0.1253202988738399,0.12585023879562346
Nauru,0.1218050279611531,0.1209922266962382,0.12139862732869565
Myanmar,0.115524016439302,0.1142309597123231,0.11487748807581255
Chad,0.1077182975074923,0.1052948902909067,0.1065065938991995
Dominica,0.1041394902072509,0.1023879761417712,0.10326373317451104
Congo,0.1007267401496784,0.0997179216640468,0.10022233090686261
Grenada,0.0976310084644734,0.0975000538317435,0.09756553114810845
Tuvalu,0.0948824873775758,0.0957774380396632,0.0953299627086195
"Democratic People's Republic
of Korea",0.0924811768889857,0.094550074287806,0.09351562558839585
Niger,0.0905931342413716,0.0940548222475829,0.09232397824447724
Burundi,0.088523938238119,0.0933011778385478,0.0909125580383334
Guinea,0.085428206552914,0.0910833100062444,0.0882557582795792
Sao Tome and Principe,0.0818493992526727,0.088176395857109,0.08501289755489086
Timor-Leste,0.0771383834796898,0.0836545294028983,0.08039645644129406
Suriname,0.0707516991670495,0.0767425335371762,0.07374711635211284
Marshall Islands,0.0683805809043991,0.075558235180121,0.07196940804226004
Haiti,0.0595030379517275,0.0650933442432333,0.0622981910974804
Afghanistan,0.0575697069652038,0.0645334941108072,0.0610516005380055
Sudan,0.0556665682046198,0.0640167093731831,0.05984163878890145
Equatorial Guinea,0.0516499736282518,0.0604853469994186,0.0560676603138352
Liberia,0.0460784794159853,0.0547361167933506,0.05040729810466795
