country,AI_INDEX_2026_v1,LEGAL_WGI_2026_v1,PQC_NCSI_2026,RES_INDEX_2026,SCI_2026_v1,SCI_PLUS_2026_v1,SCI_ULTRA_2026_v1
Marshall Islands,-0.3414309270383627,0.028922396172774756,0.0,0.0,0.04021948466246067,0.0,0.0
"Marshall Islands, Republic of the",0.0,0.0,0.0,0.09071460305460927,0.0,0.0,0.0
Martinique,0.0,0.1848758724461131,0.0,0.0,0.0,0.0,0.0
Mauritania,-0.1614850779568251,-0.17838165979375958,-0.45571367884451996,0.0,-0.16708457130407367,-0.18909652984289,0.0
"Mauritania, Islamic Republic of",0.0,0.0,0.0,0.0936276748370895,0.0,0.0,0.0
Mauritius,0.17153242036244676,0.1713223077438631,-0.06637638062871709,0.031150658301113687,0.182619396233549,0.16060743769473268,0.0
Mexico,0.08736198544608631,-0.131759124582995,-0.252230246389125,-0.10920307541030291,-0.12046203609330908,-0.1424739946321254,0.0
"Micronesia (Federated States
of)",-0.2829324441645379,0.0,0.0,0.0,0.0,0.0,0.0
"Micronesia, Fed. Sts.",0.0,0.05692042539713077,0.0,0.0,0.0,0.0,0.0
"Micronesia, Federated States of",0.0,0.0,0.0,0.08631177811989138,0.0,0.0,0.0
Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Moldova, Republic of",0.0,0.0,0.0,-0.06516156107054621,0.0,0.0,0.0
Monaco,-0.05034009551824947,0.36126385487909435,0.0,0.0,0.37256094336878026,0.0,0.0
Mongolia,0.013961631785632311,-0.045284770012629816,-0.1282922684791844,0.015644881519626563,-0.0339876815229439,-0.055999640061760225,0.0
Montenegro,-0.004086534370083494,0.05015920945449254,0.17257858963466433,-0.02068083047808833,0.06145629794417845,0.03944433940536213,0.0
Morocco,0.020684229495555206,-0.028619031274646378,0.181499575191164,-0.153864492418432,-0.017321942784960465,-0.03933390132377679,0.0
Mozambique,-0.2432245410109798,-0.20303439708982207,-0.3406966864910791,0.0,-0.19173730860013616,-0.21374926713895248,0.0
"Mozambique, Republic of",0.0,0.0,0.0,-0.09108345283361119,0.0,0.0,0.0
Myanmar,-0.2985228470048102,-0.337144196141443,-0.2167587085811385,0.015784461354182877,-0.32584710765175706,-0.3478590661905734,0.0
Namibia,-0.04209740217793456,0.05495933740681164,0.0,-0.1450494329440331,0.06625642589649755,0.0,0.0
Nauru,-0.2920017077519271,0.02762539114184387,-0.5177357689039933,0.0,0.03892247963152978,0.01691052109271346,0.0
"Nauru, Republic of",0.0,0.0,0.0,0.12673471248480356,0.0,0.0,0.0
Nepal,0.0061560621560387,-0.1224678908200788,0.0,0.09051990765377099,-0.11117080233039289,0.0,0.0
Netherlands,0.4968163956660021,0.42696631020444925,0.20805012744265083,0.0,0.43826339869413516,0.41625144015531884,0.0
"Netherlands, The",0.0,0.0,0.0,0.2639666553959662,0.0,0.0,0.0
New Zealand,0.32933509187013277,0.4385116645306864,0.031011045029736617,0.05623713994896318,0.4498087530203723,0.427796794481556,0.0
Nicaragua,-0.259111607354813,-0.28204285426692066,-0.4380841121495328,0.03498602517695626,-0.27074576577723475,-0.29275772431605107,0.0
Niger,-0.3210763568361455,-0.1656991859705092,0.0,0.0,-0.15440209748082329,0.0,0.0
Nigeria,0.17015762896667364,-0.20346261621582057,-0.039825828377230255,-0.0826686972141853,-0.19216552772613466,-0.21417748626495098,0.0
Niue,0.0,-0.084415565557935,0.0,0.0,0.0,0.0,0.0
North Macedonia,-0.033945069856682275,-0.0034270721047588992,0.23460067969413767,0.0,0.007870016384927014,-0.014141942153889309,0.0
"North Macedonia, Republic of",0.0,0.0,0.0,-0.1223194704054836,0.0,0.0,0.0
Norway,0.47683053558122335,0.4462718884687364,0.181499575191164,0.4356994719062254,0.4575689769584223,0.435557018419606,0.0
Oman,0.23793303822146694,0.1434527668556374,-0.039825828377230255,0.08124855169736178,0.15474985534532332,0.132737896806507,0.0
Pakistan,0.0898368521598506,-0.1880078633154395,-0.1460280373831776,-0.20386023522965782,-0.1767107748257536,-0.19872273336456991,0.0
Palau,-0.2556123449575284,0.14232537875888823,0.0,0.0,0.15362246724857415,0.0,0.0
"Palau, Republic of",0.0,0.0,0.0,-0.028903452755888237,0.0,0.0,0.0
Panama,-0.03530154684726977,-0.023444316036726476,-0.039825828377230255,-0.0129090951752866,-0.012147227547040562,-0.034159186085856885,0.0
Papua New Guinea,-0.1729168998131368,-0.1515412714830588,0.0,-0.05971031756413503,-0.14024418299337288,0.0,0.0
Paraguay,-0.0633469562205094,-0.10713511311694429,0.0,-0.11946293933856703,-0.09583802462725838,0.0,0.0
Peru,0.2571338008970011,-0.06295200759210051,0.06637638062871698,-0.08551898361555632,-0.0516549191024146,-0.07366687764123092,0.0
Philippines,0.30484025508914026,-0.0395703179321088,-0.06637638062871709,-0.02741353576614114,-0.028273229442422887,-0.05028518798123921,0.0
Poland,0.4238763241489135,0.17331798508897217,0.3230671197960918,0.0,0.18461507357865808,0.16260311503984176,0.0
"Poland, Republic of",0.0,0.0,0.0,-0.04376303696604483,0.0,0.0,0.0
Portugal,0.35397281087201493,0.22298715731840174,0.23460067969413767,0.05723194102115586,0.23428424580808765,0.21227228726927133,0.0
Puerto Rico (U.S.),0.0,0.0946015675736665,0.0,0.0,0.0,0.0,0.0
Qatar,0.24342978179082964,0.2145176586133251,-0.2256796941376381,0.1361907664071082,0.22581474710301103,0.2038027885641947,0.0
Republic of Korea,0.5049504135820692,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Moldova,0.1794088255990528,0.0,0.0,0.0,0.0,0.0,0.0
Romania,0.24841493302186468,0.08455056542980127,0.3230671197960918,-0.015876912390771325,0.09584765391948719,0.07383569538067086,0.0
Russia,0.24709508484164788,-0.187104347591124,0.0,0.08643655346485757,-0.17580725910143807,0.0,0.0
Rwanda,0.1630675321461773,0.09225371719455683,0.031011045029736617,0.06196822301840199,0.10355080568424274,0.08153884714542642,0.0
Réunion,0.0,0.16458293349934344,0.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,-0.2845270084225363,0.0,0.0,0.0,0.0,0.0,0.0
Saint Lucia,-0.21168108024732019,0.0,0.0,0.0,0.0,0.0,0.0
"Saint Vincent and the
Grenadines",-0.272579961207303,0.0,0.0,0.0,0.0,0.0,0.0
Samoa,-0.24593628398529027,0.13472911689804984,0.0,-0.11205519511056472,0.14602620538773575,0.0,0.0
San Marino,-0.07485203569756277,0.2529861593647181,0.0,0.0,0.264283247854404,0.0,0.0
"San Marino, Republic of",0.0,0.0,0.0,0.2332996713659342,0.0,0.0,0.0
Sao Tome and Principe,-0.32838743752573185,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.4339687724129584,0.156903566418023,0.17257858963466433,0.12081557923224306,0.1682006549077089,0.1461886963688926,0.0
Senegal,0.02594167479064252,0.007682633535135097,-0.2610450297366186,0.01261077741875799,0.01897972202482101,-0.0030322365139953122,0.0
