country,PC1,PC2,PC3
Moldova,-0.014379930171511002,0.0043742715297031606,0.004678562297525461
"Moldova, Republic of",-0.023675287214835708,0.01409386848093667,0.010541717267270677
Monaco,0.2926928873847233,-0.3505845921006623,-0.0332047005767961
Mongolia,-0.11117450734224706,0.015773024915022762,-0.09718859268893915
Montenegro,0.11312809210075113,0.005071846298959676,0.12943378129466124
Morocco,0.011963368269465473,0.12688261104939322,0.13783722985953825
Mozambique,-0.5337004590359973,-0.05563000765121445,-0.12788775073040934
"Mozambique, Republic of",-0.027373069085273746,0.017960417041332898,0.012874136350221568
Myanmar,-0.6804896235393348,0.08530739422553445,-0.012292048210073896
Namibia,-0.0026414064811934677,-0.054281572514401695,0.027088667333648942
Nauru,-0.34019677376263396,-0.3864355962305168,-0.23702667916388512
"Nauru, Republic of",0.0036988939538649644,-0.014529669763986083,-0.006724867073051438
Nepal,-0.104810556314833,0.0986534200727537,0.013284238529976448
Netherlands,0.8721784546811062,-0.04798428185289125,-0.08354530544809745
"Netherlands, The",0.023275157722735976,-0.03499939381628627,-0.019072823979981175
New Zealand,0.7347397055517364,-0.23654883425700732,-0.13939612435765295
Nicaragua,-0.6750971181359086,-0.019664828109529887,-0.1925118158488946
Niger,-0.3325752926833103,-0.06790065459127394,0.17895410781324508
Nigeria,-0.20513322068472803,0.3285747533936385,-0.0936138125604014
Niue,-0.054437065080854566,0.04909132477938767,0.012585051708137198
North Macedonia,0.057317298472812014,0.05805680701591675,0.18689941156024975
"North Macedonia, Republic of",-0.03182891592460553,0.022619628640508024,0.015684713762007283
Norway,0.9373497033789714,-0.1550009637134852,-0.13302952748421298
Oman,0.29048604252533666,-0.014431031210491456,-0.14554276368831848
Pakistan,-0.28816046597781253,0.24305110759964813,-0.12258156790559398
Palau,-0.01684303177969675,-0.2949659306066682,0.097566417056593
"Palau, Republic of",-0.01850303447927888,0.00868555423488741,0.007279258473066942
Panama,-0.07916085991925897,-0.007472517627320865,-0.008644598585842846
Papua New Guinea,-0.24874957250189964,0.027288222314268196,0.11390715032527526
Paraguay,-0.1580639486265311,0.0701881885406415,0.061551943208536804
Peru,0.05973637060266254,0.27351645646833384,-0.05926015967196041
Philippines,0.07037343406530304,0.22977781682649268,-0.18243683311594877
Poland,0.5599439283944402,0.20603445714349464,0.037231940486687376
"Poland, Republic of",-0.02062276793071072,0.010902032278273625,0.008616305093478684
Portugal,0.5579736134206896,0.07062426787446817,-0.0003962138176196242
Puerto Rico (U.S.),0.03051069787661836,-0.04573856378373183,-0.004181963451545431
Qatar,0.3169073646297075,-0.15275468903918865,-0.2881258925395071
Republic of Korea,0.25637993782127133,0.34084136162639433,-0.22728385822902578
Republic of Moldova,0.08182102071263858,0.12392099109520155,-0.07773765983122095
Romania,0.35205973594497403,0.18455281134559193,0.12081027395335485
Russia,-0.03508682030071923,0.31661039714220457,-0.08626205548649557
Rwanda,0.21133443766341023,0.014833718986738964,-0.057498380143150174
Réunion,0.06371847179245012,-0.08280945759224931,-0.010736523916484466
Saint Kitts and Nevis,-0.16694638653771857,-0.18521657145767065,0.13538362125702885
Saint Lucia,-0.12788561271516669,-0.13667664195323842,0.10191990408694655
"Saint Vincent and the
Grenadines",-0.16054025072736663,-0.1772558131264885,0.12989542694002368
Samoa,-0.03456007299663576,-0.2651286357022062,0.10446953756163647
San Marino,0.18090152991827652,-0.27176534072761155,-0.0039060704382583586
"San Marino, Republic of",0.01890048404522129,-0.03042506012039578,-0.01631344748763294
Sao Tome and Principe,-0.19046482255570962,-0.21444239354593375,0.15553207747461517
Saudi Arabia,0.5023254917817128,0.16394433093001143,-0.08639041571108294
Senegal,-0.09124190259463641,-0.07367035676516494,-0.19896769695820493
Serbia,0.21375693190627626,0.29924723536763265,-0.001206058583549675
"Serbia, Republic of",-0.01778031000291621,0.007929844628005656,0.006823391572463554
Seychelles,0.04991543273210074,-0.29395705486427404,0.06378267779070698
Sierra Leone,-0.326326505831049,-0.013064444730327756,0.157556792933756
Singapore,0.970131412211415,-0.13507458583342405,-0.07690029146588907
Slovak Republic,0.03326004217498231,-0.049310165650003866,-0.0016444983566710628
Slovakia,0.16119707261323152,0.16650732421034933,0.19666339596700239
Slovenia,0.552237605789756,0.07998941479716365,0.056102307112693005
"Slovenia, Republic of",-0.0007667798634500879,-0.009860182683750806,-0.003908091180181928
Solomon Islands,-0.21190041417139224,-0.13126198561406377,0.12956481398851527
Somalia,-0.16882318085074208,-0.15748766547962179,0.13402326365807815
South Africa,0.013855286692422218,0.08534566552583321,-0.15037064966680042
South Sudan,-0.6445884551410167,0.13295903646012053,0.26656689135929845
Spain,0.6319960182935848,0.17337200301249436,-0.01958924158129359
Sri Lanka,-0.010032508854853416,0.11248104251053903,-0.030074402587135445
St. Kitts and Nevis,0.05244787809328259,-0.07010462551238318,-0.009266665669284312
St. Lucia,0.023232593120613005,-0.0381810177897636,0.0007320593080154458
St. Vincent and the Grenadines,0.027595785671856204,-0.04308096098414194,4.969599298152404e-05
State of Palestine,-0.06532076874134428,-0.05892874249427322,0.04832003806684374
Sudan,-0.5700836157135261,0.12474830312360775,0.24517339803615215
Suriname,-0.3087091681839462,-0.1107958989799603,0.19296985967086522
Sweden,0.8282065650119714,-0.17316983128147106,-0.1013759743595252
Switzerland,0.8132647924980255,-0.2267123149199771,-0.03683723741380269
Syrian Arab Republic,-0.5264351759123231,0.17065443350851076,0.1986606315824557
São Tomé and Príncipe,-0.05683826854178717,0.051771864545121254,0.013059001973915185
"São Tomé and Príncipe, Democratic Republic of",-0.00857393646871129,-0.0016967076085472226,0.0010163639898955437
Taiwan,0.17095454336306964,0.23468517937238564,-0.15409915246056186
"Taiwan, China",0.1376735806663205,-0.16536789690857914,-0.025333805686516997
Tajikistan,-0.5233506981798086,-0.012579404683880085,-0.2979052939650349
"Tajikistan, Republic of",-0.022378406801267757,0.012737798471460093,0.00972369480653726
Tanzania,-0.07234176352428967,0.03204407636250408,-0.02272303284233519
"Tanzania, United Republic of",-0.003527767164345663,-0.0069731839781496455,-0.002166566208177274
Thailand,0.11850775142414714,0.193254918893387,-0.18869099728681635
Timor-Leste,-0.31424778131788245,-0.09969557813050954,0.17991253191404877
"Timor-Leste, Democratic Republic of",-0.03937475305027614,0.03050985762034504,0.02044433861967055
Togo,-0.19479796949738162,0.0373567899247307,0.08209685883920605
Tonga,-0.1340547790365776,-0.1926657399099003,0.12227544902302476
Trinidad and Tobago,-0.12024021901436456,-0.017159083924783408,0.07320281857321216
Tunisia,-0.03333334183271987,0.1427713684519263,0.14724103974000194
Turkey,0.09287976604715961,0.2793455195733254,-0.027590861297032566
