,pqc_norm,ai_norm,legal_norm,res_norm,pc1,pc2,reproducible,audit_ready,pqc_score,ai_index,legal_wgi_score,res_index,qvp_global_score,rank,explained_variance_ratio,predicted_qvp_score,residual,imf_res,ndgain_res,global_resilience,oecd_ai,oxford_ai,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,sci_score,qssi_global_score,manifest_version,consistency_checks,spearman_rho,spearman_p,kendall_tau,kendall_p,countries,cronbach_alpha,random_seed,importance,schema_version,statistics,ai_missing,legal_missing,pqc_missing,res_missing,null_counts,duplicate_iso3,row_count,pqc,sci_plus_score,sci_ultra_score,sci_adjusted_score,confidence_score,rank_raw,rank_adjusted,rank_gap,risk_flag
oecd_ai,-0.003087259713383321,-0.002982587400956223,-0.0017762947795453943,-0.0011827993389895946,-0.0006802917970044908,-0.0003786976204559863,,,-5.605157777736577e-05,0.5964161343375667,0.2409512137441316,-0.001567549015873162,-0.00043379143045462187,-0.47087792679714596,0.0,-0.00025042041887039264,0.0008413745484862967,-0.0003286787675046326,-0.00021339506728714606,-0.0003286787675046326,1.0,0.9982286953672949,0.3657153555731786,0.43249704683252926,0.44014408073749745,0.3739467442115404,0.5517742022614391,-8.449056626749859e-05,,,0.0003209471304632656,-0.00046299308836853485,0.00033943317361358845,-0.0004629930883685339,,,,-0.00027696155545221276,,-0.00017930634646216436,,,,,-0.0005235618026998926,,,0.24764067172006243,0.40350630570778706,-0.0013213497995073588,-0.0012972377534580532,0.00021984341938510954,-3.047972370760093e-17,-2.9668266087466064e-17,-0.0012189725328866027,
oxford_ai,-0.006201434003967978,-0.0059911768510808715,-0.0035680752089595194,-0.0023759102640058057,-0.0013665143441857445,-0.0007606967080020599,,,-0.00011259181043240166,0.5957935266517397,0.23965174566491498,-0.0031487638463922373,-0.0008713646331050573,-0.47312231647043096,0.0,-0.0005030239905436677,0.0016900841585947746,-0.0006602229402174344,-0.0004286505021969414,-0.0006602229402174344,0.9982286953672949,1.0,0.3668246293968711,0.4339978394160051,0.4393553630937402,0.37790561317573923,0.5498149544936521,-0.00016971771710393274,,,0.0006446922621099456,-0.0009300225275393378,0.0006818255088101408,-0.0009300225275393343,,,,-0.0005563376480203405,,-0.00036017587676816313,,,,,-0.001051687991252361,,,0.24652668652897342,0.40240263319146763,-0.0026542190610916363,-0.0026057847613703395,0.00044160342280667785,1.4669010682695285e-16,1.280397417281041e-16,-0.002448572007912554,
rule_of_law,-0.005166045915176505,-0.004990893183548081,-0.0029723512894742135,-0.0019792295630870612,-0.0011383618436151288,-0.0006336911944156642,,,-9.379354226660361e-05,0.21713288275975748,0.569422799442874,-0.002623047926674163,-0.0007258820622137167,-0.4523208735434247,0.0,-0.00041903937539636976,0.0014079086156896549,-0.0005499924729076758,-0.0003570832446980396,-0.0005499924729076758,0.3657153555731786,0.3668246293968711,1.0,0.9157748277621885,0.9061964236148008,0.9463639848874885,0.47778391130994596,-0.0001413817382581389,,,0.0005370547884682923,-0.000774746466114715,0.000567988288253372,-0.0007747464661147186,,,,-0.00046345181326976873,,-0.00030004110593337847,,,,,-0.0008760987293864968,,,0.22149552312092768,0.3954380954388114,-0.0022110720729697957,-0.002170724337902528,0.0003678735526428411,-3.0677842268187126e-16,-2.1296618835889648e-16,-0.0020397597412795247,
regulatory_quality,-0.005205104275663114,-0.005028627285860066,-0.002994824022018284,-0.0019941937084002066,-0.0011469685319756373,-0.0006384822743852861,,,-9.450267688252831e-05,0.25751259751452843,0.5676481705986359,-0.002642879719339175,-0.0007313701596330549,-0.4771545996470137,0.0,-0.00042220756074533885,0.0014185532369612598,-0.00055415074107298,-0.00035978300508007516,-0.00055415074107298,0.43249704683252926,0.4339978394160051,0.9157748277621885,1.0,0.9469261348313684,0.9038534374838563,0.5312673924043132,-0.00014245066776206965,,,0.0005411152400930048,-0.0007806040073087096,0.0005722826154200526,-0.0007806040073087091,,,,-0.00046695578289920924,,-0.0003023095940319905,,,,,-0.0008827225535946437,,,0.2181937370378014,0.3885392838413041,-0.0022277890846851773,-0.002187136296893388,0.00037065489413073727,-6.370086026363721e-17,-6.686567513806469e-17,-0.0020551815305139822,
government_effectiveness,-0.0006949873165879434,-0.0006714240480945982,-0.00039986993544974215,-0.00026626543115414533,-0.00015314363363938183,-8.525037329949452e-05,,,-1.2618029983204858e-05,0.26286070869946404,0.5701567931547611,-0.00035287821087321076,-9.765279574702445e-05,-0.47465695610366887,0.0,-5.6373299005092906e-05,0.00018940571703827204,-7.39903979105213e-05,-4.80383508214685e-05,-7.39903979105213e-05,0.44014408073749745,0.4393553630937402,0.9061964236148008,0.9469261348313684,1.0,0.9046675740721196,0.5336099358147637,-1.9020062248874076e-05,,,7.224989332333717e-05,-0.0001042265160552619,7.64113720212295e-05,-0.00010422651605526222,,,,-6.234809704760592e-05,,-4.03644811720606e-05,,,,,-0.0001178614195458539,,,0.23030846707440783,0.4092542987655491,-0.0002974551662926472,-0.00029202719205766793,4.948996919394458e-05,-8.788545323341197e-16,-7.143903018161902e-16,-0.00027440854617893896,
control_of_corruption,-0.012700840200295467,-0.012270223265876786,-0.007307592570143805,-0.004865980444857931,-0.0027986882236926878,-0.001557944069555851,,,-0.00023059353550295935,0.22035458527738827,0.5605950030817054,-0.006448822387838637,-0.0017845973937919888,-0.44985667447301647,0.0,-0.0010302177394324965,0.0034613750319079173,-0.0013521688781822304,-0.0008778971971158618,-0.0013521688781822304,0.3739467442115404,0.37790561317573923,0.9463639848874885,0.9038534374838563,0.9046675740721196,1.0,0.4780040797409463,-0.00034759018683518496,,,0.0013203612896931915,-0.0019047316310056319,0.0013964119954024612,-0.0019047316310056312,,,,-0.0011394067179280546,,-0.0007376578146132499,,,,,-0.0021539084522903167,,,0.21282681790844984,0.38744078318249336,-0.005435970475527294,-0.005336774660401423,0.0009044254121519514,-1.279136944927781e-16,-5.2282174314489523e-17,-0.005014795250826584,
sci_score,-0.00175540792315214,-0.0016958915158434412,-0.001009996637584501,-0.0006725366583705364,-0.00038681216398502786,-0.0002153264918224416,,,-3.187078278790571e-05,0.32878644833378123,0.30515846899358995,-0.0008913043338936297,-0.0002466526903177141,-0.2754400071695475,0.0,-0.0001423884053221878,0.00047840340167996595,-0.00018688590083519759,-0.00012133588575501566,-0.00018688590083519759,0.5517742022614391,0.5498149544936521,0.47778391130994596,0.5312673924043132,0.5336099358147637,0.4780040797409463,1.0,-4.804111841111515e-05,,,0.00018248971192555985,-0.0002632566778116674,0.00019300082845311457,-0.00026325667781166624,,,,-0.00015747962723727517,,-0.000101953126874107,,,,,-0.0002976958928125764,,,0.0004296094912766909,0.0002754633702603256,-0.0007513160934452803,-0.000737606046151704,0.0001250024021527569,-7.99209363256815e-16,-6.439085036413049e-16,-0.000693104643272742,
qssi_global_score,0.37041877787928607,0.5259170356765283,0.4634682541667148,0.3473658831000069,-0.00010678437906581426,-5.944359528094208e-05,,,0.43363755517486474,0.3844093586775693,0.37510641868084466,0.3313358183415322,-6.809158768197819e-05,-0.40122331032386915,0.0,-3.9308116093733656e-05,0.0001320692960246951,-5.1592211246374793e-05,-3.34963024041692e-05,-5.1592211246374793e-05,-8.449056626749859e-05,-0.00016971771710393274,-0.0001413817382581389,-0.00014245066776206965,-1.9020062248874076e-05,-0.00034759018683518496,-4.804111841111515e-05,1.0,,,5.037858781798135e-05,-7.26753279561595e-05,5.328031418024502e-05,-7.267532795616039e-05,,,,-4.347423834066587e-05,,-2.8145447224040474e-05,,,,,-8.218270784710398e-05,,,0.00011859912132605186,7.604513944354262e-05,-0.00020741028848279383,-0.00020362545691974374,3.450849052474422e-05,-4.952005855339523e-16,-4.574791983507897e-16,-0.000191340283090399,
manifest_version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consistency_checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
