country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE
Guyana,0.2080413576428749,0.4210951410137612,0.615016992353441,0.4729469762846325,True,True,False,True,False,False,True,False,3,0.75,B,0.2146110579163772,0.3921749744748107,0.622668266608487,0.5631601170203687,0.39383644724843275,0.43838447573938766,0.4052789277493106,0.4124999502457103
Haiti,0.0622981910974804,0.1088655739108627,0.0088147833474936,0.2515412115441287,True,True,True,True,False,False,False,False,4,1.0,A,0.0597943111897566,0.0389920852354768,0.0,0.1768356345406743,0.07065742924983753,0.06705708677381114,0.05581364000424688,0.06450938534263184
Honduras,0.1530787659767057,0.2795780487166018,0.203483432455395,0.3009161386125323,True,True,True,True,False,False,False,False,4,1.0,A,0.1562266421313006,0.2320959147047014,0.1999563652230827,0.2629885094196551,0.20374179779349352,0.2081423989422313,0.20136581823907568,0.20441667165826685
Hungary,0.7380445172095522,0.555070976174037,0.9468988954970264,0.3087459909887522,True,True,True,True,False,False,False,False,4,1.0,A,0.7776107982396114,0.5437236346136015,0.9635649612741356,0.2766505912117928,0.6437173731219168,0.661043771519082,0.6907370835343399,0.6651660760584464
Iceland,0.7126327491624229,0.8667066751187339,0.7875955819881053,0.4998310502301324,True,True,True,True,False,False,False,False,4,1.0,A,0.7506169614040252,0.8962347614894698,0.799934547834624,0.610069356109576,0.7627529239092773,0.761200175568733,0.7827970780316882,0.7689167258365662
India,0.7804532642756392,0.4908191446875781,0.7610450297366185,0.5379361059928162,True,True,True,True,False,False,False,False,4,1.0,A,0.8226598005986945,0.4710442670128139,0.7726628122613722,0.6765577601700221,0.7003333002464567,0.7025245355130829,0.6960745572902775,0.6996441310166057
Indonesia,0.6857033074986308,0.4672230367361789,0.4601741716227697,0.3733595901203665,True,True,True,True,False,False,False,False,4,1.0,A,0.7220109646470243,0.4443531958935565,0.4636195047452819,0.3893929819753194,0.5454157678736613,0.5199375113395043,0.5415104330950449,0.5356212374360702
Iran (Islamic Republic of),0.5408427161205154,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.568131739859707,0.4443531958935565,0.622668266608487,0.3559270285438891,0.5018291043950205,0.5073116343694963,0.5189493372179889,0.5093633586608353
Iraq,0.2574107896862957,0.219908672870074,0.2124044180118946,0.1826152129705428,True,True,True,True,False,False,False,False,4,1.0,A,0.2670540989032956,0.1646000565893834,0.2091196683756954,0.0565686633552333,0.1889053141593021,0.1818671194324995,0.19746751334366391,0.18941331564515518
Ireland,0.8259901416078436,0.875736521594103,0.7787807986406118,0.7233035359814183,True,True,True,True,False,False,False,False,4,1.0,A,0.8710316822571409,0.9064489999972132,0.7908803316243046,1.0,0.8946583595693951,0.8874897291234847,0.8790997199210545,0.8870826028713114
Israel,0.8330814494352046,0.7102983445158382,0.615016992353441,0.3721529253472198,True,True,False,True,False,False,True,False,3,0.75,B,0.8785644759646737,0.7193112669722883,0.622668266608487,0.3872875076912205,0.6965881491889034,0.6650440424211976,0.709447993019376,0.690360061543159
Italy,0.7930010538413984,0.6444358429294295,0.8937977909940527,0.4252730928791866,True,True,True,True,False,False,False,False,4,1.0,A,0.8359887820201048,0.6448099671157248,0.9090214901276316,0.4799753437783877,0.7258302780451499,0.732592174577761,0.7536056535519511,0.7373427020582872
Jamaica,0.4529910857618803,0.4980929489582634,0.4424384027187765,0.297716791509383,True,True,True,True,False,False,False,False,4,1.0,A,0.474810701699628,0.4792721335531899,0.4454019853823497,0.257406061666564,0.42494356573092495,0.4177127499682641,0.4399578478475296,0.42753805451557286
Japan,0.8297091768673535,0.8575007215242297,0.8318819031435853,0.5028744758535763,True,True,True,True,False,False,False,False,4,1.0,A,0.8749822547161219,0.8858213169240527,0.8454238027708082,0.6153797410054725,0.8175979738063355,0.8093940736734063,0.8361628968704784,0.82105164811674
Jordan,0.6523785054045246,0.5474503285051612,0.9468988954970264,0.3433287020041328,True,True,True,True,False,False,False,False,4,1.0,A,0.6866114494051824,0.5351034312595689,0.9635649612741356,0.3369929583196246,0.6185550390984608,0.6459262179084255,0.6637191547661495,0.6427334705910119
