country,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,rank
Rwanda,0.5455117077660289,0.5530840966535088,0.5663714808711007,0.6181280843910484,0.5707738424204216,82
Greece,0.592362692765012,0.6034857718127086,0.5309676695146872,0.5432665007152021,0.5675206587019025,83
Romania,0.6095859292882915,0.5804027585465524,0.5819172250492906,0.4803768497385297,0.5630706906556661,84
Kuwait,0.57639882517889,0.5852158778275,0.5616524624991516,0.5245780509619488,0.5619613041168726,85
Dominica,0.6158230586406703,0.5027467768626372,0.5214828497765488,0.5968681513025538,0.5592302091456025,86
Grenada,0.6497548299921729,0.5003615970257357,0.4925331376547943,0.58446850351094,0.5567795170459108,87
Hungary,0.5672923551289806,0.5687865665727131,0.6007344997473987,0.4834704832470557,0.555070976174037,88
Jordan,0.5616608253761588,0.5546211869534248,0.5365686697319597,0.5369506319591014,0.5474503285051612,89
Tuvalu,0.8107482679063609,0.3918803297288807,0.3328173878038014,0.6073795110615646,0.5357063741251519,90
"Micronesia, Fed. Sts.",0.7529219642436225,0.3052424310156402,0.4465082614994644,0.6370895457332553,0.5354405506229956,91
Namibia,0.5993551122535888,0.5207625847198711,0.5103207148315747,0.5034794387256714,0.5334794626326764,92
Montenegro,0.5647009604444827,0.5189420860473505,0.5703214658749387,0.4607528263546575,0.5286793346803573,93
China,0.3847261615454499,0.4712853761063778,0.6891968521041544,0.4947851845465974,0.5099983935756449,94
Marshall Islands,0.7195116137451354,0.3234067457239493,0.4226644314442272,0.5641872946812462,0.5074425213986395,95
Kiribati,0.7077496331020359,0.368070595103593,0.3904651990446836,0.5604726413758645,0.5066895171565442,96
Nauru,0.5813633365502485,0.3625307064729334,0.4902608721275455,0.5904271503201074,0.5061455163677087,97
Jamaica,0.5034115933061194,0.5101982502874335,0.5264733352879027,0.4522886169515979,0.4980929489582634,98
Tonga,0.6860440084499564,0.4417243783390195,0.4796364833328789,0.3826807945836633,0.4975214161763795,99
Bulgaria,0.513899015929633,0.557506332657026,0.4976260157109107,0.4192603035681158,0.4970729169664213,100
India,0.5125063521476145,0.4653395111607493,0.578880822309833,0.4065498931321157,0.4908191446875781,101
Albania,0.4937509583376482,0.5209616256521169,0.5581594370732343,0.3777313623866498,0.4876508458624123,102
Senegal,0.4733636608679151,0.4304083914409279,0.5406565780999978,0.5003824046351586,0.4862027587609999,103
Dominican Republic,0.4786659518807503,0.5381406457540513,0.5047744931658872,0.4134072356388712,0.4837470816098899,104
Ghana,0.534556120714026,0.4668307464610846,0.501390059087618,0.4299534336250741,0.4831825899719507,105
Armenia,0.4880983957276945,0.5215032713379018,0.4062498891065607,0.507652205569225,0.4808759404353455,106
Moldova,0.4836178766604395,0.4771769157149834,0.5458728258091919,0.4074128827188443,0.4785201252258648,107
Kazakhstan,0.43151707632592,0.4996826502894011,0.5209712014847659,0.4589937374606411,0.477791166390182,108
North Macedonia,0.468571339748757,0.5522919161426995,0.4807448337806728,0.3987641228122942,0.4750930531211059,109
Thailand,0.470800041857515,0.51392555869134,0.5449748079303172,0.3532413129720577,0.4707354303628075,110
Indonesia,0.4729084142571921,0.518318664412549,0.5283917749432079,0.3492732933317666,0.4672230367361789,111
South Africa,0.5259758269775187,0.4739666098338218,0.4372699340137433,0.4303409621101181,0.4668883332338004,112
