country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,QSSI_SCORE,RANK
Zambia,0.4928847042832384,0.3785506754166776,0.615016992353441,0.4380475743788147,0.48684168805137096,78
South Africa,0.5727305175621046,0.4668883332338004,0.5044604927782498,0.3552109201366935,0.4801146751441273,79
Sri Lanka,0.5075972266814739,0.4224388172360691,0.615016992353441,0.3552109201366935,0.47932390957418963,80
Kuwait,0.4451672017271014,0.5619613041168726,0.3539719626168224,0.5664796184894159,0.4760553166180645,81
Morocco,0.4340845645761779,0.4499010939512184,0.796516567544605,0.2001909856827422,0.46938247646993386,82
Nepal,0.4195563972366614,0.356052234405786,0.615016992353441,0.4445753857549452,0.46197546057925215,83
Costa Rica,0.5350895708785564,0.6196565913730386,0.4689889549702634,0.2405479830122125,0.4618424240337936,84
Tunisia,0.4144454671830577,0.4221027110740237,0.796516567544605,0.2013285318234645,0.4582154572117394,85
Seychelles,0.2132804885327768,0.6577219598234414,0.615016992353441,0.3779320618281072,0.4437658020699084,86
Kenya,0.6230120368442038,0.3828781232875737,0.4955395072217502,0.2175382202561744,0.4417486675802571,87
Nigeria,0.5835579640472963,0.2750575090100442,0.5751911639762107,0.2713867808869889,0.44172337723199767,88
Ethiopia,0.4576270522875272,0.3197001893962491,0.5929269328802039,0.3552109201366935,0.43826261681973233,89
El Salvador,0.3990931516101961,0.3969775670809071,0.615016992353441,0.3408857799468186,0.4380991519743051,90
Panama,0.3780987882333529,0.4550758091891383,0.5751911639762107,0.3411463829258876,0.43352918503335813,91
Cabo Verde,0.3131951075720809,0.5983001913788477,0.615016992353441,0.2561043729188966,0.4313989118654782,92
Mongolia,0.427361966866255,0.433235355213235,0.4867247238742566,0.3697003596208008,0.42896193197628785,93
Tuvalu,0.0953299627086195,0.5357063741251519,0.615016992353441,0.5408179286813268,0.4246989938963082,94
Namibia,0.3713029329026881,0.5334794626326764,0.615016992353441,0.2090060451571411,0.42409253177498724,95
Botswana,0.3540654446025904,0.5953814693423877,0.477909940526763,0.3168220363280914,0.42397892146296823,96
Jamaica,0.4529910857618803,0.4980929489582634,0.4424384027187765,0.297716791509383,0.42055471407725664,97
Guyana,0.2080413576428749,0.4210951410137612,0.615016992353441,0.4729469762846325,0.4186224276551331,98
Palau,0.1577879901230943,0.620845503984753,0.615016992353441,0.3552109201366935,0.41406247595641255,99
Kiribati,0.1606657737509384,0.5066895171565442,0.615016992353441,0.4390000363121789,0.41304189272299535,100
Senegal,0.4393420098712652,0.4862027587609999,0.3539719626168224,0.3666662555199322,0.4092027092477682,101
Barbados,0.1717337295172703,0.6669772305511315,0.615016992353441,0.2728533184678624,0.4068831426707332,102
Solomon Islands,0.1387496350804999,0.3921028065990511,0.615016992353441,0.5191449944200035,0.4035859485373213,103
Lesotho,0.2730036145402973,0.3863100548279978,0.615016992353441,0.3552109201366935,0.4017200734502224,104
Ecuador,0.6220218479573252,0.3404036848024685,0.3893372982158029,0.1945621115089828,0.4006621437788877,105
Vanuatu,0.2438007646197809,0.4440861468859525,0.615016992353441,0.3388281329013901,0.40041874007683254,106
Togo,0.2933923915391562,0.3481284803612382,0.615016992353441,0.3385973020780932,0.3960469871418781,107
Fiji,0.3599455796739829,0.581653791059161,0.3274214103653356,0.3552109201366935,0.3949725147395344,108
Cuba,0.277986343757603,0.3419236346590867,0.615016992353441,0.3552109201366935,0.3943376081816319,109
Paraguay,0.3500533788601133,0.3713850121089205,0.615016992353441,0.2345925387626072,0.3916953988588301,110
Armenia,0.3862511205546053,0.4808759404353455,0.362786745964316,0.3552109201366935,0.3915499407787031,111
Samoa,0.1674640510953324,0.6132492421239146,0.615016992353441,0.2420002829906095,0.3871433825893953,112
Tonga,0.1486992011236551,0.4975214161763795,0.615016992353441,0.354179974671984,0.3864132853287287,113
Grenada,0.0975655311481084,0.5567795170459108,0.615016992353441,0.3638131436347989,0.3853330967506747,114
Trinidad and Tobago,0.3066373395088269,0.4455109750341536,0.615016992353441,0.1895207317474974,0.3822278278847134,115
Belarus,0.2819800950948946,0.273840813735871,0.615016992353441,0.3552109201366935,0.3819191693981762,116
Dominica,0.103263733174511,0.5592302091456025,0.615016992353441,0.3122368462693197,0.374638621437164,117
Gabon,0.2365812559561215,0.2957377032633009,0.615016992353441,0.356241865601403,0.37293663192820764,118
Mexico,0.500762320526709,0.3467610006428698,0.362786745964316,0.2448524026908713,0.3714906834503835,119
Belize,0.1586499781736748,0.4261964513288163,0.615016992353441,0.3316058894347962,0.369490004164925,120
Marshall Islands,0.07196940804226,0.5074425213986395,0.615016992353441,0.3552109201366935,0.3656363048149396,121
Papua New Guinea,0.2404834352674859,0.326978853742806,0.615016992353441,0.2943451605370392,0.364881339551427,122
Pakistan,0.5032371872404733,0.2905122619104253,0.4689889549702634,0.1501952428715164,0.36386965801467197,123
Cameroon,0.3436592294366638,0.2599941544673645,0.615016992353441,0.2200696394748562,0.36386825768154635,124
Algeria,0.4499496834942319,0.3585966585677635,0.3451571792693288,0.2755542924048365,0.3618821046803636,125
Sierra Leone,0.143991187984131,0.2853842964313312,0.615016992353441,0.3788767527858566,0.3487476519663299,126
Malawi,0.1971199171180266,0.3713945544816081,0.615016992353441,0.2179637079453785,0.34166006110643443,127
Bosnia and Herzegovina,0.3354885827102261,0.3881540341765276,0.3717077315208156,0.2549432841158808,0.3349401355575474,128
Timor-Leste,0.080396456441294,0.3399575702057176,0.615016992353441,0.3552109201366935,0.33466742909606534,129
Uganda,0.3485503866280423,0.3342418160529067,0.2831350892098555,0.3680186843247699,0.33420192258265036,130
Antigua and Barbuda,0.2048522291268782,0.6072894192836624,0.1503823279524214,0.4546139035781736,0.33416261047744467,131
Djibouti,0.1665288054240101,0.3033750947895522,0.615016992353441,0.2732792601389062,0.3327077237082003,132
Niger,0.0923239782444772,0.3128209392553556,0.615016992353441,0.3540554781011742,0.33252949893806805,133
Maldives,0.1996851448508534,0.4499312203774921,0.2743203058623619,0.4547381138887519,0.3321563924685329,134
Comoros,0.131274935751109,0.2179697149691569,0.615016992353441,0.3552109201366935,0.32553340184169766,135
Burkina Faso,0.2873107980107238,0.3457137059670255,0.2477697536108751,0.3964978220282902,0.3164028745064136,136
Cambodia,0.3249565887217305,0.3055012264081449,0.2124044180118946,0.3840682768923968,0.307705395624221,137
Syrian Arab Republic,0.1358913768647058,0.0743948159425676,0.615016992353441,0.3552109201366935,0.29820335437045886,138
Suriname,0.0737471163521128,0.3785423411676922,0.615016992353441,0.1714482387703455,0.29444891092011893,139
Equatorial Guinea,0.0560676603138352,0.1671001434614802,0.615016992353441,0.3552109201366935,0.2927973049089802,140
Eswatini,0.2420047419047426,0.3150557358363591,0.2300339847068818,0.3552109201366935,0.28192379594958844,141
Afghanistan,0.0610516005380055,0.102615014056443,0.615016992353441,0.3552109201366935,0.28139546109522384,142
Central African Republic,0.0205523956386631,0.1518859585218665,0.615016992353441,0.3552109201366935,0.27909988851850587,143
Angola,0.2274411567617198,0.2977401710398435,0.2920560747663551,0.3009719446820423,0.27603738609858397,144
Lebanon,0.3142402396745158,0.2330648139015806,0.1769328802039082,0.3552109201366935,0.2739209847678213,145
Tajikistan,0.304365142258967,0.273922688120869,0.1238317757009345,0.3552109201366935,0.2658547542612709,146
Mauritania,0.2519152571237976,0.3001384654321052,0.159303313508921,0.3552109201366935,0.26423082863496394,147
Mozambique,0.1701757940696429,0.2754857281360427,0.2743203058623619,0.3552109201366935,0.26353269034786525,148
Eritrea,0.0,0.088856877889039,0.615016992353441,0.3552109201366935,0.2603283537003414,149
Myanmar,0.1148774880758125,0.1413759290844218,0.3982582837723025,0.3698399394553571,0.254762988046543,150
Guatemala,0.2618465087617673,0.3121409483360726,0.159303313508921,0.2923819781985882,0.253903465222622,151
Nauru,0.1213986273286956,0.5061455163677087,0.0972812234494477,0.3552109201366935,0.2507717273686857,152
South Sudan,0.0077494154071724,0.0201261421088243,0.615016992353441,0.3552109201366935,0.2489070311664502,153
Chad,0.1065065938991995,0.2007546910387879,0.2212192013593882,0.4842051068569534,0.24845899343160283,154
Turkmenistan,0.1431475143387359,0.1742850609877841,0.615016992353441,0.0635626880057608,0.24744618658897805,155
Sudan,0.0598416387889014,0.098329870948969,0.615016992353441,0.1810731530476861,0.236641002176746,156
Honduras,0.1530787659767057,0.2795780487166018,0.203483432455395,0.3009161386125323,0.2279391323033139,157
Nicaragua,0.1542887277258097,0.1964772709589441,0.1769328802039082,0.3890415032781305,0.2270756683800414,158
Libya,0.2584009785731744,0.1207095039707569,0.1858538657604078,0.3088199064908667,0.22533063742892234,159
Iraq,0.2574107896862957,0.219908672870074,0.2124044180118946,0.1826152129705428,0.21995987922551288,160
Guinea,0.0882557582795792,0.2544265790206249,0.2300339847068818,0.329246242516694,0.2171821000938927,161
Zimbabwe,0.2595193682963511,0.2235026631873492,0.1503823279524214,0.2160812941167516,0.2141722486436684,162
Madagascar,0.1258502387956234,0.289553912480526,0.0707306711979609,0.3552109201366935,0.2021512519684558,163
Mali,0.164000206501554,0.2540790397009392,0.0796516567544605,0.288416805030704,0.19203298533694516,164
Burundi,0.0909125580383334,0.2267693547307254,0.0088147833474936,0.2993663040932398,0.14967291021782844,165
Liberia,0.0504072981046679,0.2611678516452462,0.0972812234494477,0.1599226499175314,0.13165672810219436,166
Haiti,0.0622981910974804,0.1088655739108627,0.0,0.2515412115441287,0.10334787499744882,167
United States of America,1.0,,0.615016992353441,0.3552109201366935,,168
"United Kingdom of Great
Britain and Northern Ireland",0.9240477396822298,,0.615016992353441,0.3552109201366935,,169
Republic of Korea,0.9183507486626918,,0.615016992353441,0.3552109201366935,,170
Taiwan,0.7590376695795309,,0.615016992353441,0.3552109201366935,,171
Egypt,0.7068441861169577,,0.6460280373831776,0.3552109201366935,,172
Republic of Moldova,0.5928091606796755,,0.615016992353441,0.3552109201366935,,173
Iran (Islamic Republic of),0.5408427161205154,,0.615016992353441,0.3552109201366935,,174
Slovakia,0.5020638543017402,,0.9380841121495328,0.3552109201366935,,175
Côte D'Ivoire,0.4542193619161699,,0.615016992353441,0.3552109201366935,,176
United Republic of Tanzania,0.4235684629791386,,0.615016992353441,0.3552109201366935,,177
State of Palestine,0.3183988206584764,,0.615016992353441,0.3552109201366935,,178
Kyrgyzstan,0.3000051028179664,,0.5929269328802039,0.3552109201366935,,179
Bahamas,0.2715555655237825,,0.615016992353441,0.3552109201366935,,180
"Lao People's Democratic
Republic",0.2653457711590519,,0.615016992353441,0.3552109201366935,,181
Bolivia (Plurinational State of),0.225132330701489,,0.615016992353441,0.3552109201366935,,182
"Democratic Republic of the
Congo",0.2195818549234346,,0.615016992353441,0.3552109201366935,,183
"Venezuela, Bolivarian
Republic of",0.2070694831611816,,0.615016992353441,0.3552109201366935,,184
Saint Lucia,0.2017192548333025,,0.615016992353441,0.3552109201366935,,185
Gambia (Republic of The),0.187906560302883,,0.615016992353441,0.3552109201366935,,186
Somalia,0.1498725340623882,,0.615016992353441,0.2619649703562118,,187
"Saint Vincent and the
Grenadines",0.1408203738733197,,0.615016992353441,0.3552109201366935,,188
"Micronesia (Federated States
of)",0.1304678909160848,,0.615016992353441,0.3552109201366935,,189
Saint Kitts and Nevis,0.1288733266580864,,0.615016992353441,0.3552109201366935,,190
Congo,0.1002223309068626,,0.2300339847068818,0.3552109201366935,,191
"Democratic People's Republic
of Korea",0.0935156255883958,,0.615016992353441,0.3552109201366935,,192
Sao Tome and Principe,0.0850128975548908,,0.615016992353441,0.3552109201366935,,193
Yemen,0.0285386873063819,,0.615016992353441,0.3552109201366935,,194
Guinea Bissau,0.0060083359076905,,0.615016992353441,0.3552109201366935,,195
